,Word,Sentiment
0,able,1
1,abnormally,-1
2,abrupt,-1
3,absorb,1
4,absorbed,1
6,abundant,-1
7,acceptable,1
8,achievement,1
9,adequately,1
10,adverse,-1
11,adversely,-1
12,aggravate,-1
15,aggravation,-1
16,ail,-1
17,alarm,-1
18,alleviate,1
20,anxiety,-1
21,arrears,-1
22,bad,-1
23,beneficial,1
24,benefit,1
25,benefiting,1
26,benign,1
27,better,1
28,brighter,1
29,broaden,1
30,buoyancy,1
31,burden,-1
32,calm,1
35,challenge,-1
38,closure,-1
39,cloud,-1
40,comfortable,1
41,compromise,-1
42,concern,-1
44,confident,1
45,confine,1
46,confront,-1
48,constrain,-1
51,contagion,-1
52,contain,1
53,contract,-1
55,contraction,-1
56,correction,-1
57,costly,-1
58,damage,-1
59,danger,-1
60,dangerous,-1
61,decline,-1
62,deep,-1
63,deeply,-1
64,default,-1
65,deficient,-1
66,deficit,-1
67,delay,-1
68,delinquency,-1
69,dent,-1
70,depress,-1
71,depressed,-1
73,destabilise,-1
74,destabilize,-1
75,deteriorate,-1
78,deterioration,-1
80,detrimental,-1
81,difficult,-1
82,difficulty,-1
84,disappoint,-1
85,discourage,-1
86,disorderly,-1
87,disrupt,-1
89,disruption,-1
91,disruptive,-1
92,distortion,-1
93,distress,-1
94,distressed,-1
95,distrust,-1
96,disturbance,-1
98,doubt,-1
99,downgrade,-1
103,downside,-1
104,downswing,-1
105,downturn,-1
106,downward,-1
107,drag,-1
108,drastic,-1
109,drop,-1
110,dry,-1
111,effective,1
112,efficient,1
113,enable,1
115,endanger,-1
116,enhance,1
119,enjoy,1
120,erode,-1
123,erosion,-1
124,escalate,-1
127,escalation,-1
128,exacerbate,-1
131,excellent,1
132,excessive,-1
133,exhaust,-1
134,expose,-1
138,fail,-1
141,fails,-1
142,failure,-1
144,falter,-1
145,favorable,1
146,favorably,1
147,favourable,1
148,favourably,1
149,fear,-1
151,force,-1
152,fragile,-1
153,fragility,-1
155,gain,1
157,gloomy,-1
158,good,1
159,grow,1
161,hamper,-1
164,headwind,-1
165,healthy,1
166,hinder,-1
169,hinders,-1
170,hurt,-1
171,illiquid,-1
172,illiquidity,-1
173,imbalance,-1
175,impair,-1
176,impaired,-1
178,impairment,-1
179,impede,-1
181,impediment,-1
182,improve,1
184,improvement,1
186,improves,1
188,inability,-1
189,inadequate,-1
190,ineffective,-1
191,inefficient,-1
192,insolvency,-1
194,insolvent,-1
195,instability,-1
196,insufficient,-1
197,insufficiently,-1
198,jeopardise,-1
200,jeopardising,-1
201,jeopardize,-1
202,lackluster,-1
203,lacklustre,-1
204,lag,-1
205,lose,-1
207,loss,-1
209,misalignment,-1
210,misconduct,-1
211,mispricing,-1
212,mitigate,1
214,mitigates,1
216,mitigation,1
217,negative,-1
218,negatively,-1
219,nervousness,-1
220,nonperforming,-1
221,opportunity,1
222,optimism,1
223,outperform,1
224,overcapacity,-1
225,overheat,-1
227,overindebted,-1
228,overvalue,-1
229,pessimism,-1
230,pessimistic,-1
231,plummet,-1
233,plunge,-1
235,poor,-1
236,poorer,-1
237,poorly,-1
238,pose,-1
240,positive,1
241,positively,1
242,prevent,1
243,problem,-1
244,problematic,-1
246,profitable,1
247,prolong,-1
248,protectionism,-1
249,protract,-1
250,question,-1
251,rally,1
252,reassure,1
253,rebound,1
256,recession,-1
257,recouped,1
258,recover,1
261,recovery,1
262,regain,1
263,reopen,1
264,repercussion,-1
265,resilient,1
266,resolve,1
267,restructure,-1
268,resurface,-1
269,riskier,-1
270,setback,-1
272,severely,-1
273,severity,-1
274,shaken,-1
275,shelter,1
276,shortage,-1
278,shortfall,-1
280,shrank,-1
281,shrink,-1
283,shrunk,-1
284,slid,-1
285,slide,-1
287,slip,-1
288,slowdown,-1
290,sluggish,-1
291,sluggishness,-1
292,slump,-1
295,smooth,1
296,smoothly,1
297,solid,1
298,sound,1
299,sounder,1
300,spill,-1
303,spillover,-1
305,spiral,-1
306,squeeze,-1
308,stabilise,1
311,stabilize,1
314,stable,1
315,stagnant,-1
316,stagnate,-1
319,stagnation,-1
320,strain,-1
323,strengthen,1
324,stress,-1
325,struggle,-1
327,succeed,1
328,success,1
329,successful,1
330,successfully,1
331,suffer,-1
334,susceptibility,-1
335,susceptible,-1
336,tense,-1
337,tension,-1
338,tepid,-1
339,threat,-1
340,threaten,-1
344,tough,-1
345,troubled,-1
346,tumble,-1
347,turbulence,-1
349,turbulent,-1
350,turmoil,-1
351,unable,-1
352,undermine,-1
353,undermined,-1
355,underperformance,-1
356,underperformed,-1
357,undesirable,-1
358,unease,-1
359,unemployed,-1
360,unexpectedly,-1
361,unfavorable,-1
362,unfavourable,-1
363,unresolved,-1
364,unrest,-1
365,unstable,-1
366,unsustainable,-1
367,upgraded,1
368,upswing,1
369,volatile,-1
370,volatility,-1
371,vulnerability,-1
373,vulnerable,-1
374,weaken,-1
377,weaker,-1
378,weak,-1
379,weakness,-1
381,withstand,1
382,worry,-1
383,worrisome,-1
386,worsen,-1
390,writedowns,-1
